name,email,year,month,day
Gerard,gerardpalomo88@gmail.com,2000,09,20
Juan,test2@email.com,1962,09,22
Alice,alice@example.com,1995,03,12
Bob,bob@email.net,1987,11,05
Catherine,catherine@testmail.org,1978,07,18
David,david@examplemail.com,2001,05,30
Emily,emily@samplemail.com,1990,02,14
Fiona,fiona@example.org,1984,09,03
George,george@emailprovider.com,1972,12,08
Hannah,hannah@testmail.net,1998,08,25
Isabella,isabella@examplemail.net,1989,04,10
Jacob,jacob@email.com,1993,01,22
Liam,liam@example.net,1986,09,20
Mia,mia@testmail.com,2005,09,20
Nathan,nathan@email.org,1977,09,20
Olivia,olivia@examplemail.net,1997,09,20
Paul,paul@testemail.com,1983,06,19
Quinn,quinn@emailprovider.net,1992,09,20
Rachel,rachel@example.org,1999,09,20
Sophia,sophia@email.net,1974,09,20
Tyler,tyler@examplemail.com,1996,09,20
Ursula,ursula@testmail.org,1980,09,20
Victor,victor@email.com,1971,09,20
Wendy,wendy@examplemail.net,1981,09,20
Xander,xander@email.net,1994,09,20
Yasmine,yasmine@testmail.net,1979,09,20
Zach,zach@examplemail.com,2004,09,20

